title,user,date,rating,review,helpful
" This is slightly different to the other reviews, please stay with me here.
",scottedwards-87359,26 May 2022,10,"If you were a late teen or in your early twenties in the mid 1980's the world was very different. No computers, no mobile phones, no internet, no DVD's. We had cars though, and bikes, and we loved them, and we loved films too. The original Top Gun captured this moment in time perfectly, and gave us a thrilling ride like we had never seen before. The humour, the games, the bikes, the aircraft and my word, those flying scenes. We went back to the cinema to see it again and again, and spent the following decades quoting the movie. As time went on, it remained like a static snapshot in time to perfectly represent that magical point in our lives for so many of us.Now, 36 years later, we are a generation that has lost our parents, we've had our own children who have moved on themselves, and we now approach the end of our own careers and our young selves are gone forever.This film is the missing bookend to that whole generation. The original was there for the start of our young adult lives, and this new film now marks the end. It's magnificent.I'm 55, but yesterday, just for one last night, I was 19 again. Thank you.","4,563 out of 4,779 found this helpful."
" The truly epic blockbuster we needed.
",Top_Dawg_Critic,23 May 2022,10,"Wow. The first Top Gun is a classic, and as we all know, sequels/remakes rarely beat the original, especially 36 years later e.g. The Matrix Resurrections. Well, this film just broke that theory.Aside from the adrenaline-pumping edge or your seat action, this story also had heart. It successfully overachieves, and surpasses its predecessor on every level.The directing by novice Joseph Kosinski was outstanding, especially considering this was his fourth ever full length feature film. All the stunts, visuals and V/SFX were breathtaking, and the camera work perfection, that you'll feel you're in the cockpit of the jet. The soundtrack and score was amazing. The 131 min runtime literally flew by with its spot-on pacing. I actually wanted to see more. Casting and performances by all were also perfection, and once again Tom Cruise reminds us why he is still one of the top actors in the industry.There's nothing I can critique or wish was better, as this gem was perfect in every way. Absolutely stunning, action-packed with a compelling and emotional story, as well as being a visual masterpiece. And the fact the dog fights were real and not CGI (actors had to train to fly the jets), just makes this film that much more magnificent. I'll be definitely seeing this again and adding the DVD to my collection. It's a rare perfect 10/10 must see from me.","2,417 out of 2,689 found this helpful."
" Let me just say...
",lovefalloutkindagamer,26 May 2022,10,"I was reluctantly dragged into the theater, thinking that they didn't need to make a Top Gun 2 and that the first one was where that story needed to end.I could write a couple paragraphs to summarize my feelings after walking out of the theater, but I'm going to leave it with just one sentence.I was wrong.

                    1,427 out of 1,575 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink","1,427 out of 1,575 found this helpful."
" Best Sequel yet
",goshamorrell,25 May 2022,10,"In one of the more memorable lines in the original Top Gun, Maverick gets chewed out by a superior who tells him, ""Son, your ego's writing checks your body can't cash."" Sometimes I wonder if Tom Cruise took that putdown as a personal challenge. No movie star seems to work harder or push himself further than Cruise these days. Ridiculously entertaining Top Gun: Maverick. Cruise was in his early 20s when he first played Pete ""Maverick"" Mitchell, the cocky young Navy pilot with the aviator sunglasses, the Kawasaki motorcycle and the need for speed. In the sequel, he's as arrogant and insubordinate as ever: Now a Navy test pilot in his late 50s, Maverick still knows how to tick off his superiors, as we see in an exciting opening sequence where he pushes a new plane beyond its limits. Partly as punishment, he's ordered to return to TOPGUN, the elite pilot-training school, and train its best and brightest for an impossibly dangerous new mission. And so the three screenwriters of Top Gun: Maverick - including Cruise's regular Mission: Impossible writer-director, Christopher McQuarrie - have taken the threads of the original and spun them into an intergenerational male weepie, a dad movie of truly epic proportions. They're tapping into nostalgia for the original, while aiming for new levels of emotional grandeur. To that end, the soundtrack features a Lady Gaga song, ""Hold My Hand."" It's nowhere near as iconic a chart topper as the original movie's ""Take My Breath Away,"" but tugs at your heartstrings nonetheless. The action sequences are much more thrilling and immersive than in the original. You feel like you're really in the cockpit with these pilots, and that's because you are: The actors underwent intense flight training and flew actual planes during shooting. In that respect, Top Gun: Maverick feels like a throwback to a lost era of practical moviemaking, before computer-generated visual effects took over Hollywood. You start to understand why Cruise, the creative force behind the movie, was so driven to make it: In telling a story where older and younger pilots butt heads, and state-of-the-art F-18s duke it out with rusty old F-14s, he's trying to show us that there's room for the old and the new to coexist. He's also advancing a case for the enduring appeal of the movies and their power to transport us with viscerally gripping action and big, sweeping emotions.","990 out of 1,157 found this helpful."
" The real cinema experience!
",alexglimbergwindh,30 May 2022,10,"If there's any movie that deserves to be seen in the theaters with big screens and booming speakers. It's :Top Gun Maverick.One of my best experiences in years!

                    837 out of 951 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",837 out of 951 found this helpful.
" This is why we go to the movies
",dtucker86,27 May 2022,10,"This is one sequel that looked like it would never get made. It was stuck in development ""hell"" for years and years. Then it was delayed by COVID and other issues. Its almost as if we were not meant to see a sequel to Top Gun. But now it is here and the question is, was it worth the wait? The answer is a resounding yes. This is the only sequel I have ever seen that i liked BETTER then the original. EVERYTHING about this film rocks! Tom Cruise is sixty this year but he can still do the job! He is awesome as Maverick capturing emotions and giving a performance that he hasn't given since A Few Good Men. You see Maverick's innate cockiness (something all fighter pilots have I'm sure) but you also see his vulnerability and his pain especially the scenes where he talks about his dead wingman's son and how he can't bear the thought of him dying as well. Jennifer Connally and Miles Teller give great performances as well playing Maverick's love interest and Goose's son. Yes you 1980's music lovers we get to hear Kenny Loggin's Danger Zone at the beginning it is wonderful nostalgia. Oh and I should also mention the aieral sequences are the best and most intense in movie history you are on the edge of your seat the whole time. To wrap it all up I wanted to mention the touching scene where Maverick goes to see his old Top Gun classmate ""Iceman"" who is now an Admiral and dying of throat cancer. Val Kilmer looks so bad because he has had throat cancer and can no longer speak well. The scene is so sad but they have a joke at the end where he asks Maverick who the best pilot is? Go see this movie by all means!",790 out of 924 found this helpful.
" Fake Imdb reviews artificially upping the ratings for this boring movie.
",imseeg,29 May 2022,5,"Almost 90 percent of all the reviews have a 8, 9 or 10 star rating! That's almost the same as for ""The Godfather"" (1972), which is a brilliant classic. It is simply IMPOSSIBLE that Top Gun gets the same critical praise as ""The Godfather"" (1972). Ridiculous amount of fake reviews!Mind you, I am a big Tom Cruise fan, I have seen all of his movies and I dont even hate this movie, I merely think it is a bit tedious. I blame the director (same as for ""Oblivion"").This movie has got 75 minutes of talk, talk, talk. The first half is a talking heads movie. We see Tom being a teacher talking to his students about FEELINGS and we get to see Tom talking/flirting to his former ex lover Jennifer Connelly. BORING.Skip the first 75 minutes, because only the last 45 minutes are non stop flying action.BUT... even the action is not very thrilling, because everything is so PREDICTABLE. I knew beforehand that every fighting scene Tom Cruise did, was gonna be successful. And it was. There is no thrill in that!The biggest hype of this movie was about the real life flying scenes of the actors. These flying scenes were pretty looking indeed. But did it blow my mind? No, it was even a bit underwhelming to see Tom Cruise with a helmet and mask on, trying to ""act"", without seeing much of his face. His face looked a bit bloated in his helmet. That's not great cinema...How they achieved to make such a predictable, tedious movie about fighter jet pilots, with so much money available? Well, that's Hollywood for you. Hurrah for Hollywood.",127 out of 752 found this helpful.
" Flying High
",DarkVulcan29,27 May 2022,10,"Top Gun (1986) made Tom Cruise a star, and now 36 years later he jumps back in role of Pete Mitchell AKA Maverick almost like he never left.Maverick never seems let his age slow him down, and still is cocky has ever, and is ordered to train a bunch of young pilots for a deadly mission, but sees a little bit of himself in them, and must get them working together has a team.Tom Cruise is great has Maverick, who is coming to terms with the past. Miles Teller and Glen Powell are also great, and not to mention Jennifer Connelly. But the flying scenes are what makes this movie, you feel like your flying with them. Feels has real has ever. A terrific sequel 36 years worth the wait.

                    532 out of 668 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",532 out of 668 found this helpful.
" What an excellent sequel
",r96sk,25 May 2022,9,"What an excellent sequel - I, in fact, like it more than its predecessor.'Top Gun: Maverick' is fantastic, simply put. I was expecting it to be good, but it's actually much more enjoyable than I had anticipated. The callbacks to the original are expertly done, the new characters are strong/well cast, it has plenty of meaning, music is fab and the action is outstanding - the aerial stuff is sensational.The story is superb, with each high stake coming across as intended - parts even gave me slight goosebumps, which is a surprise given I'm not someone who has a connection to the 1986 film. It's all super neatly put together, I honestly came close to giving it a higher rating.Tom Cruise is brilliant as he reprises the role of Maverick, while Miles Teller comes in and gives a top performance. Jennifer Connelly is another positive, though her role does kinda feel a tiny bit forced in order to have a love interest; given Kelly McGillis' (unexplained) absence.Monica Barbaro stands out most from the fresh faces, though I actually did enjoy watching them all - which is something I thought the film may struggle with, adding new people, but it's done nicely; sure Jon Hamm and Glen Powell are a little cliché, though overall I approve.A great watch - I'd highly recommend it, though naturally would suggest watching the previous film first if you haven't already.",513 out of 648 found this helpful.
" TOM CRUISE YOU LEGEND!
",nihal-38544,25 May 2022,9,"This is one of the best theatrical experiences I've had and I'm so happy someone has taken the practical route rather than throwing everyone into a green screen. I watched the first one many times and I can't believe this just topped it by a huge margin. Tom Cruise will be written as the most passionate filmmaker in history. I mean to put a whole cast in a bunch of f-18 jets and act in a jet as well as film yourself is a huge deal. If this movie does not cross a billion then there is something wrong with taste that people have these days. So called marvel fans. This is what you call a cinematic experience. Not some cropped cgi scenes.

                    498 out of 609 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",498 out of 609 found this helpful.
